run,tarefa,rmse,r2,dir_acc,razao_mov,corr_mov,bate_naive,acc,f1,janela,hidden,celula,lr,diff,log,epocas,config
dir_w10_lr0.0001,direction,,,,,,,0.5275590551181102,0.0,10,32,lstm,0.0001,True,True,13,dir_w10_lr0.0001
dir_w10_lr0.001,direction,,,,,,,0.5275590551181102,0.0,10,32,lstm,0.001,True,True,13,dir_w10_lr0.001
dir_w30_lr0.0001,direction,,,,,,,0.5275590551181102,0.0,30,32,lstm,0.0001,True,True,13,dir_w30_lr0.0001
dir_w30_lr0.001,direction,,,,,,,0.5275590551181102,0.0,30,32,lstm,0.001,True,True,13,dir_w30_lr0.001
dir_w5_lr0.0001,direction,,,,,,,0.5275590551181102,0.0,5,32,lstm,0.0001,True,True,13,dir_w5_lr0.0001
dir_w5_lr0.001,direction,,,,,,,0.6062992125984252,0.6031746031746033,5,32,lstm,0.001,True,True,80,dir_w5_lr0.001
dirseed_0,direction,,,,,,,0.6181102362204725,0.616600790513834,5,32,lstm,0.001,True,True,80,dirseed_0
dirseed_123,direction,,,,,,,0.5275590551181102,0.0,5,32,lstm,0.001,True,True,13,dirseed_123
dirseed_1,direction,,,,,,,0.6259842519685039,0.5814977973568282,5,32,lstm,0.001,True,True,80,dirseed_1
dirseed_42,direction,,,,,,,0.6062992125984252,0.6031746031746033,5,32,lstm,0.001,True,True,80,dirseed_42
dirseed_7,direction,,,,,,,0.6220472440944882,0.6307692307692309,5,32,lstm,0.001,True,True,80,dirseed_7
feat_close_s0,direction,,,,,,,0.6181102362204725,0.616600790513834,5,32,lstm,0.001,True,True,80,feat_close
feat_close_s1,direction,,,,,,,0.6259842519685039,0.5814977973568282,5,32,lstm,0.001,True,True,80,feat_close
feat_close_s42,direction,,,,,,,0.6062992125984252,0.6031746031746033,5,32,lstm,0.001,True,True,80,feat_close
feat_ohlc_s0,direction,,,,,,,0.6929133858267716,0.675,5,32,lstm,0.001,True,True,80,feat_ohlc
feat_ohlc_s1,direction,,,,,,,0.6771653543307087,0.6846153846153846,5,32,lstm,0.001,True,True,80,feat_ohlc
feat_ohlc_s42,direction,,,,,,,0.6811023622047244,0.64,5,32,lstm,0.001,True,True,80,feat_ohlc
feat_ohlcv_s0,direction,,,,,,,0.6850393700787402,0.6666666666666666,5,32,lstm,0.001,True,True,80,feat_ohlcv
feat_ohlcv_s1,direction,,,,,,,0.6850393700787402,0.68503937007874,5,32,lstm,0.001,True,True,80,feat_ohlcv
feat_ohlcv_s42,direction,,,,,,,0.6732283464566929,0.6719367588932806,5,32,lstm,0.001,True,True,80,feat_ohlcv
fx_faixa_s0,direction,,,,,,,0.7204724409448819,0.7148594377510041,10,64,gru,0.0039468,True,True,21,fx_faixa
fx_faixa_s1,direction,,,,,,,0.7165354330708661,0.7096774193548386,10,64,gru,0.0039468,True,True,23,fx_faixa
fx_faixa_s2,direction,,,,,,,0.7165354330708661,0.71875,10,64,gru,0.0039468,True,True,20,fx_faixa
fx_faixa_s42,direction,,,,,,,0.7204724409448819,0.7078189300411523,10,64,gru,0.0039468,True,True,26,fx_faixa
fx_retorno_s0,direction,,,,,,,0.7142857142857143,0.7024793388429752,10,64,gru,0.0039468,True,True,38,fx_retorno
fx_retorno_s1,direction,,,,,,,0.7063492063492064,0.7063492063492064,10,64,gru,0.0039468,True,True,25,fx_retorno
fx_retorno_s2,direction,,,,,,,0.7142857142857143,0.6923076923076923,10,64,gru,0.0039468,True,True,41,fx_retorno
fx_retorno_s42,direction,,,,,,,0.6944444444444444,0.6882591093117408,10,64,gru,0.0039468,True,True,33,fx_retorno
fx_vol_s0,direction,,,,,,,0.732,0.7099567099567099,10,64,gru,0.0039468,True,True,39,fx_vol
fx_vol_s1,direction,,,,,,,0.712,0.7096774193548386,10,64,gru,0.0039468,True,True,36,fx_vol
fx_vol_s2,direction,,,,,,,0.72,0.7154471544715447,10,64,gru,0.0039468,True,True,36,fx_vol
fx_vol_s42,direction,,,,,,,0.72,0.7154471544715447,10,64,gru,0.0039468,True,True,37,fx_vol
h2b_s11,direction,,,,,,,0.7165354330708661,0.7142857142857143,10,64,gru,0.0039468,True,True,60,h2b
